S/N,Category,Difficulty,Card Pool
1,Group 1 Elements,Easy,"Lithium, Sodium, Potassium, Rubidium, Caesium, Francium"
2,Group 1 Chemical Symbols,Easy,"Li, Na, K, Rb, Cs, Fr"
3,Group 1 Atomic Numbers,Medium,"3, 11, 19, 37, 55, 87"
4,Group 1 Physical Properties,Medium,"Soft, Silvery, Shiny, Low density, Good conductor of electricity, Low melting point, Stored under oil"
5,Group 1 Chemical Properties,Hard,"Reacts with water, Produces hydrogen gas, Forms alkaline solution, Forms +1 ions, Loses one electron, Reactivity increases down the group, Reacts with oxygen"
6,Group 1 Uses,Medium,"Lithium batteries, Sodium street lamps, Potassium fertilisers, Caesium atomic clocks, Sodium coolant, Lithium alloys"
7,Periodic Trends,Easy,"Atomic Radius, Ionisation Energy, Electronegativity, Electron Affinity, Shielding, Nuclear Charge"
8,Hydrogen,Hard,"Reactivity increases down the group, Atomic radius increases down the group, Melting point decreases down the group, Boiling point generally decreases down the group, First ionisation energy decreases down the group"
9,Group 1 Reactions with Water,Medium,"Fizzing, Floating, Moving on water, Hydrogen gas, Heat released, Alkaline solution"
10,Group 1,Easy,"Alkali metal, Group, Period, Reactivity, Ion, Electron, Metal"
11,Group 7 Elements,Easy,"Fluorine, Chlorine, Bromine, Iodine, Astatine"
12,Group 7 Chemical Symbols,Easy,"F, Cl, Br, I, At, Ts"
13,Group 7 Atomic Numbers,Medium,"9, 17, 35, 53, 85, 117"
14,Group 7 Physical Properties,Medium,"Coloured, Non-metals, Diatomic molecules, Low melting point, Low boiling point, Poor conductors"
15,Group 7 Chemical Properties,Hard,"Forms -1 ions, Reactivity decreases down the group, Reacts with metals, Forms salts, Gains one electron, Strong oxidising agents"
16,Group 7 Uses,Medium,"Toothpaste (fluoride), Water treatment (chlorine), Flame retardants (bromine), Antiseptics (iodine)"
17,Group 7 Trend Statements,Hard,"Reactivity decreases down the group, Melting point increases down the group, Boiling point increases down the group, Colour darkens down the group, Atomic radius increases down the group"
18,Group 7,Easy,"Halogen, Diatomic, Reactivity, Oxidation, Displacement, Non-metal"
19,Group 0 Elements,Easy,"Helium, Neon, Argon, Krypton, Xenon, Radon, Oganesson"
20,Group 0 Chemical Symbols,Easy,"He, Ne, Ar, Kr, Xe, Rn, Og"
21,Group 0 Atomic Numbers,Medium,"2, 10, 18, 36, 54, 86, 118"
22,Group 0 Physical Properties,Medium,"Colourless, Odourless, Monatomic, Low density, Low boiling point, Gases at room temperature"
23,Group 0 Chemical Properties,Hard,"Very unreactive, Full outer electron shell, Stable, Non-flammable, Rarely form compounds"
24,Group 0 Uses,Medium,"Helium balloons, Neon signs, Argon light bulbs, Krypton lasers, Xenon flash lamps, Radon radiotherapy"
25,Group 0 Trend Statements,Hard,"Boiling point increases down the group, Density increases down the group, Atoms become larger down the group, Remain very unreactive"
26,Group 0,Easy,"Noble gas, Inert, Monatomic, Stable, Electron shell, Group, Period"
27,Hydrogen,Easy,"H, Atomic number 1, Relative atomic mass 1.008, Period 1, Non-metal"
28,Hydrogen Physical Properties,Medium,"Colourless, Odourless, Gas at room temperature, Very low density, Diatomic, Low boiling point"
29,Hydrogen Chemical Properties,Hard,"Flammable, Burns in oxygen, Forms water, Reacts with some metals, Forms covalent bonds, Can form H? ions"
30,Hydrogen Gas Test,Hard,"Lighted splint, Squeaky pop, Combustible gas, Small gas sample"
31,Hydrogen Uses,Medium,"Fuel cells, Rocket fuel, Ammonia production, Hydrogenation of oils, Clean-energy research, Weather balloons"
32,Hydrogen Isotopes,Hard,"Protium, Deuterium, Tritium, 1H, 2H, 3H"
33,Hydrogen-Containing Compounds,Medium,"Water, Hydrogen chloride, Ammonia, Methane, Hydrogen peroxide, Sulfuric acid"
34,Hydrogen Reactions,Hard,"Metal + acid, Combustion, Water formation, Hydrogen gas production"
35,Hydrogen Classification,Medium,"Non-metal, Period 1, Above Group 1, One outer electron, Not an alkali metal"
36,Hydrogen,Easy,"Element, Atom, Molecule, Gas, Isotope, Proton, Electron"
37,Lithium,Easy,"Li, Atomic number 3, Period 2, Group 1, Alkali metal"
38,Lithium Physical Properties,Medium,"Soft, Silvery, Solid, Low density, Shiny when cut, Good conductor"
39,Lithium Chemical Properties,Hard,"Forms Li? ions, Loses one electron, Reactive metal, Reacts with oxygen, Reacts with water, Forms ionic compounds"
40,Lithium and Water,Medium,"Floats, Fizzes gently, Moves slowly, Produces hydrogen, Forms lithium hydroxide, Alkaline solution"
41,Lithium Uses,Medium,"Rechargeable batteries, Mobile phones, Electric vehicles, Lightweight alloys, Heat-resistant glass, Medicines"
42,Lithium Compounds,Hard,"(-)oxide, (-)chloride, (-)hydroxide, (-)carbonate, (-)fluoride"
43,Lithium Flame Colour,Hard,"Crimson red, Flame test, Lithium ion, Coloured flame"
44,Sodium Identity,Easy,"Na, Atomic number 11, Period 3, Group 1, Alkali metal"
45,Sodium Physical Properties,Medium,"Soft, Silvery, Solid, Low density, Shiny when cut, Good conductor"
46,Sodium Chemical Properties,hard,"Forms Na? ions, Loses one electron, Reactive metal, Reacts with oxygen, Reacts with water, Forms ionic compounds"
47,Sodium and Water,Hard,"Floats, Fizzes rapidly, Melts into a ball, Moves across water, Produces hydrogen, Forms sodium hydroxide"
48,Sodium Uses,Medium,"Sodium-vapour lamps, Chemical manufacture, Coolant, Table salt compounds, Soap production"
49,Sodium compounds,Hard,"(-)chloride, (-)hydroxide, (-)carbonate, (-)nitrate, (-)hydrogen carbonate"
50,Sodium Flame Colour,Hard,"Yellow, Orange-yellow, Flame test, Sodium ion"
51,Potassium,Easy,"K, Atomic number 19, Period 4, Group 1, Alkali metal"
52,Potassium Physical Properties,Medium,"Soft, Silvery, Solid, Low density, Shiny when cut, Good conductor"
53,Potassium Chemical Properties,Hard,"Forms K? ions, Loses one electron, Very reactive, Reacts with oxygen, Reacts violently with water, Forms ionic compounds"
54,Potassium and Water,Hard,"Floats, Fizzes violently, Moves rapidly, Produces hydrogen, Forms potassium hydroxide, Lilac flame"
55,Potassium Uses,Medium,"Fertilisers, Soaps, Glass manufacture, Gunpowder compounds, Food salts"
56,Potassium compounds,Hard,"(-)chloride, (-)hydroxide, (-)nitrate, (-)carbonate, (-)permanganate"
57,Potassium Flame Colour,Hard,"Lilac, Pale purple, Flame test, Potassium ion"
58,Rubidium,Easy,"Rb, Atomic number 37, Period 5, Group 1, Alkali metal"
59,Rubidium Physical Properties,Medium,"Soft, Silvery-white, Solid, Low melting point, Good conductor, Easily cut"
60,Rubidium Chemical Properties,Hard,"Forms Rb? ions, Loses one electron, Highly reactive, Reacts with oxygen, Reacts violently with water, Stored under oil"
61,Rubidium and Water,Hard,"Violent reaction, Produces hydrogen, Forms rubidium hydroxide, Releases heat, May ignite, Alkaline solution"
62,Rubidium Uses,Hard,"Scientific research, Atomic clocks, Photocells, Vacuum tubes, Special glass"
63,Rubidium Compounds,Hard,"(-)chloride, (-)hydroxide, (-)carbonate, (-)nitrate"
64,Rubidium Flame Colour,Hard,"Red-violet, Reddish purple, Flame test, Rubidium ion"
65,Caesium,Easy,"Cs, Atomic number 55, Period 6, Group 1, Alkali metal"
66,Caesium Physical Properties,Medium,"Soft, Pale gold, Very low melting point, Dense, Good conductor, Solid near room temperature"
67,Caesium Chemical Properties,Hard,"Forms Cs? ions, Loses one electron, Extremely reactive, Reacts with oxygen, Reacts explosively with water, Stored under oil"
68,Caesium and Water,Hard,"Explosive reaction, Produces hydrogen, Forms caesium hydroxide, Releases intense heat, May ignite, Strongly alkaline solution"
69,Caesium Uses,Hard,"Atomic clocks, GPS timing, Scientific instruments, Drilling fluids, Photoelectric cells"
70,Caesium Compounds,Hard,"(-)chloride, (-)hydroxide, (-)carbonate, (-)nitrate"
71,Caesium Flame Colour,Hard,"Blue-violet, Violet-blue, Flame test, Caesium ion"
