S/N,Category,Difficulty,Card Pool,Icon Type
1,Group 1 Elements,Easy,"Lithium, Sodium, Potassium, Rubidium, Caesium, Francium",Element
2,Group 1 Chemical Symbols,Easy,"Li, Na, K, Rb, Cs, Fr",Chemical
3,Group 1 Atomic Numbers,Medium,"3, 11, 19, 37, 55, 87",Element
4,Group 1 Physical Properties,Medium,"Soft, Silvery, Shiny, Low density, Good conductor of electricity, Low melting point, Stored under oil",Physical
5,Group 1 Chemical Properties,Hard,"Reacts with water, Produces hydrogen gas, Forms alkaline solution, Forms +1 ions, Loses one electron, Reactivity increases down the group, Reacts with oxygen",Chemical
6,Group 1 Uses,Medium,"Lithium batteries, Sodium street lamps, Potassium fertilisers, Caesium atomic clocks, Sodium coolant, Lithium alloys",Uses
7,Periodic Trends,Easy,"Atomic Radius, Ionisation Energy, Electronegativity, Electron Affinity, Shielding, Nuclear Charge",Trends
8,Hydrogen,Hard,"Reactivity increases down the group, Atomic radius increases down the group, Melting point decreases down the group, Boiling point generally decreases down the group, First ionisation energy decreases down the group",Element
9,Group 1 Reactions with Water,Medium,"Fizzing, Floating, Moving on water, Hydrogen gas, Heat released, Alkaline solution",Chemical
10,Group 1,Easy,"Alkali metal, Group, Period, Reactivity, Ion, Electron, Metal",Element
11,Group 7 Elements,Easy,"Fluorine, Chlorine, Bromine, Iodine, Astatine",Element
12,Group 7 Chemical Symbols,Easy,"F, Cl, Br, I, At, Ts",Element
13,Group 7 Atomic Numbers,Medium,"9, 17, 35, 53, 85, 117",Element
14,Group 7 Physical Properties,Medium,"Coloured, Non-metals, Diatomic molecules, Low melting point, Low boiling point, Poor conductors",Physical
15,Group 7 Chemical Properties,Hard,"Forms -1 ions, Reactivity decreases down the group, Reacts with metals, Forms salts, Gains one electron, Strong oxidising agents",Chemical
16,Group 7 Uses,Medium,"Toothpaste (fluoride), Water treatment (chlorine), Flame retardants (bromine), Antiseptics (iodine)",Uses
17,Group 7 Trend Statements,Hard,"Reactivity decreases down the group, Melting point increases down the group, Boiling point increases down the group, Colour darkens down the group, Atomic radius increases down the group",Trends
18,Group 7,Easy,"Halogen, Diatomic, Reactivity, Oxidation, Displacement, Non-metal",Element
